cross_section,eta_ch,Ti_init,tau_E_s,tau_ie_s,G,max_inst_Pfus_Pbrems,transient_window_s
wang,0.3,364,11.9378,1.480,0.14903,2.750,8.881
wang,0.3,364,24.2446,1.480,0.21523,2.750,14.185
wang,0.3,364,49.2388,1.480,0.27811,2.750,20.262
wang,0.3,364,100.0000,1.480,0.32480,2.750,25.689
wang,0.3,418,0.0100,1.821,0.00031,2.746,0.016
wang,0.3,418,0.0203,1.821,0.00062,2.731,0.032
wang,0.3,418,0.0412,1.821,0.00124,2.711,0.065
wang,0.3,418,0.0838,1.821,0.00246,2.699,0.127
wang,0.3,418,0.1701,1.821,0.00483,2.699,0.248
wang,0.3,418,0.3455,1.821,0.00932,2.699,0.478
wang,0.3,418,0.7017,1.821,0.01766,2.699,0.913
wang,0.3,418,1.4251,1.821,0.03268,2.699,1.728
wang,0.3,418,2.8943,1.821,0.05859,2.699,3.233
wang,0.3,418,5.8780,1.821,0.10034,2.699,5.934
wang,0.3,418,11.9378,1.821,0.16015,2.699,10.424
wang,0.3,418,24.2446,1.821,0.23073,2.699,16.858
wang,0.3,418,49.2388,1.821,0.29469,2.699,24.207
wang,0.3,418,100.0000,1.821,0.33927,2.699,30.612
wang,0.3,473,0.0100,2.183,0.00031,2.739,0.017
wang,0.3,473,0.0203,2.183,0.00062,2.717,0.035
wang,0.3,473,0.0412,2.183,0.00125,2.683,0.070
wang,0.3,473,0.0838,2.183,0.00248,2.642,0.137
wang,0.3,473,0.1701,2.183,0.00488,2.634,0.268
wang,0.3,473,0.3455,2.183,0.00946,2.634,0.520
wang,0.3,473,0.7017,2.183,0.01800,2.634,0.999
wang,0.3,473,1.4251,2.183,0.03350,2.634,1.901
wang,0.3,473,2.8943,2.183,0.06044,2.634,3.587
wang,0.3,473,5.8780,2.183,0.10402,2.634,6.642
wang,0.3,473,11.9378,2.183,0.16604,2.634,11.763
wang,0.3,473,24.2446,2.183,0.23724,2.634,19.103
wang,0.3,473,49.2388,2.183,0.29866,2.634,27.344
wang,0.3,473,100.0000,2.183,0.33929,2.634,34.331
wang,0.3,527,0.0100,2.564,0.00031,2.734,0.019
wang,0.3,527,0.0203,2.564,0.00062,2.707,0.037
wang,0.3,527,0.0412,2.564,0.00125,2.663,0.074
wang,0.3,527,0.0838,2.564,0.00248,2.602,0.146
wang,0.3,527,0.1701,2.564,0.00488,2.567,0.287
wang,0.3,527,0.3455,2.564,0.00949,2.567,0.557
wang,0.3,527,0.7017,2.564,0.01814,2.567,1.075
wang,0.3,527,1.4251,2.564,0.03389,2.567,2.056
wang,0.3,527,2.8943,2.564,0.06139,2.567,3.902
wang,0.3,527,5.8780,2.564,0.10588,2.567,7.270
wang,0.3,527,11.9378,2.564,0.16851,2.567,12.932
wang,0.3,527,24.2446,2.564,0.23834,2.567,20.998
wang,0.3,527,49.2388,2.564,0.29608,2.567,29.882
wang,0.3,527,100.0000,2.564,0.33286,2.567,37.252
wang,0.3,582,0.0100,2.963,0.00031,2.730,0.020
wang,0.3,582,0.0203,2.963,0.00062,2.699,0.039
wang,0.3,582,0.0412,2.963,0.00124,2.649,0.078
wang,0.3,582,0.0838,2.963,0.00246,2.574,0.155
wang,0.3,582,0.1701,2.963,0.00486,2.502,0.303
wang,0.3,582,0.3455,2.963,0.00947,2.502,0.591
