Ti,tau,f_B,r_ash,eta_ch,f_tail,eta_drive,f_imp,xi_sync,Pnet_Pbrems
507.1211,0.8949,0.1795,0.0021,0.4930,0.5771,0.7261,0.0161,0.1157,0.0321
447.7479,0.8751,0.1913,0.0025,0.4295,0.5662,0.7785,0.0047,0.0422,0.0136
554.3536,0.9596,0.2032,0.0129,0.4629,0.5825,0.7644,0.0074,0.0444,0.0794
591.9496,0.8164,0.2645,0.0122,0.4554,0.5943,0.4854,0.0001,0.0633,0.0216
581.4131,0.8442,0.2345,0.0238,0.4870,0.5878,0.7780,0.0013,0.0245,0.1361
568.4387,0.5941,0.2507,0.0293,0.4636,0.5936,0.7030,0.0053,0.0143,0.0174
486.5969,0.8100,0.1877,0.0079,0.4916,0.5665,0.6346,0.0111,0.0160,0.0637
495.3122,0.6368,0.2278,0.0082,0.4688,0.5600,0.7614,0.0000,0.0498,0.0703
492.4779,0.9310,0.1631,0.0013,0.4644,0.5630,0.7335,0.0188,0.0232,0.0173
524.2247,0.6674,0.2082,0.0323,0.4965,0.5907,0.7557,0.0144,0.0310,0.0126
571.8008,0.8645,0.1551,0.0122,0.4945,0.5655,0.7571,0.0076,0.0991,0.0071
445.1641,0.9053,0.2486,0.0026,0.4769,0.5801,0.5770,0.0034,0.0239,0.0645
563.7095,0.8364,0.2376,0.0079,0.4435,0.5688,0.7323,0.0102,0.0534,0.0300
589.7941,0.7286,0.1604,0.0033,0.4948,0.5733,0.7922,0.0019,0.0811,0.1517
498.8917,0.9470,0.2613,0.0071,0.4756,0.5752,0.7585,0.0014,0.1251,0.0194
528.0422,0.7923,0.1528,0.0102,0.4644,0.5709,0.6982,0.0107,0.0028,0.0245
586.3742,0.9619,0.2689,0.0219,0.4818,0.5977,0.6831,0.0160,0.0335,0.0551
497.6268,0.7244,0.2129,0.0047,0.4501,0.5850,0.5987,0.0180,0.0193,0.0098
