cross_section,f_B,Ti_keV,PF_over_PB
wang,0.1875,575.0,0.95748
wang,0.1875,600.0,0.95476
wang,0.2000,150.0,0.58242
wang,0.2000,175.0,0.69655
wang,0.2000,200.0,0.78141
wang,0.2000,225.0,0.84394
wang,0.2000,250.0,0.88816
wang,0.2000,275.0,0.91788
wang,0.2000,300.0,0.93731
wang,0.2000,325.0,0.94931
wang,0.2000,350.0,0.95607
wang,0.2000,375.0,0.95919
wang,0.2000,400.0,0.95987
wang,0.2000,425.0,0.95922
wang,0.2000,450.0,0.95732
wang,0.2000,475.0,0.95486
wang,0.2000,500.0,0.95213
wang,0.2000,525.0,0.94933
wang,0.2000,550.0,0.94657
wang,0.2000,575.0,0.94392
wang,0.2000,600.0,0.94141
wang,0.2125,150.0,0.56973
wang,0.2125,175.0,0.68185
wang,0.2125,200.0,0.76544
wang,0.2125,225.0,0.82718
wang,0.2125,250.0,0.87059
wang,0.2125,275.0,0.90049
wang,0.2125,300.0,0.91990
wang,0.2125,325.0,0.93200
wang,0.2125,350.0,0.93893
wang,0.2125,375.0,0.94227
wang,0.2125,400.0,0.94319
wang,0.2125,425.0,0.94277
wang,0.2125,450.0,0.94112
wang,0.2125,475.0,0.93891
wang,0.2125,500.0,0.93641
wang,0.2125,525.0,0.93383
wang,0.2125,550.0,0.93129
wang,0.2125,575.0,0.92884
wang,0.2125,600.0,0.92652
wang,0.2250,150.0,0.55664
wang,0.2250,175.0,0.66663
wang,0.2250,200.0,0.74884
wang,0.2250,225.0,0.80968
wang,0.2250,250.0,0.85257
wang,0.2250,275.0,0.88221
wang,0.2250,300.0,0.90155
wang,0.2250,325.0,0.91371
wang,0.2250,350.0,0.92077
wang,0.2250,375.0,0.92430
wang,0.2250,400.0,0.92542
wang,0.2250,425.0,0.92498
wang,0.2250,450.0,0.92380
wang,0.2250,475.0,0.92180
wang,0.2250,500.0,0.91953
wang,0.2250,525.0,0.91716
wang,0.2250,550.0,0.91481
wang,0.2250,575.0,0.91255
wang,0.2250,600.0,0.91041
wang,0.2375,150.0,0.54329
wang,0.2375,175.0,0.65104
wang,0.2375,200.0,0.73179
wang,0.2375,225.0,0.79166
wang,0.2375,250.0,0.83396
wang,0.2375,275.0,0.86328
wang,0.2375,300.0,0.88250
wang,0.2375,325.0,0.89468
wang,0.2375,350.0,0.90184
wang,0.2375,375.0,0.90552
wang,0.2375,400.0,0.90683
wang,0.2375,425.0,0.90659
wang,0.2375,450.0,0.90560
wang,0.2375,475.0,0.90382
wang,0.2375,500.0,0.90175
wang,0.2375,525.0,0.89957
wang,0.2375,550.0,0.89741
wang,0.2375,575.0,0.89532
wang,0.2375,600.0,0.89335
wang,0.2500,150.0,0.52979
wang,0.2500,175.0,0.63521
wang,0.2500,200.0,0.71443
wang,0.2500,225.0,0.77326
wang,0.2500,250.0,0.81493
wang,0.2500,275.0,0.84388
wang,0.2500,300.0,0.86295
wang,0.2500,325.0,0.87510
wang,0.2500,350.0,0.88233
wang,0.2500,375.0,0.88613
wang,0.2500,400.0,0.88761
wang,0.2500,425.0,0.88755
wang,0.2500,450.0,0.88653
wang,0.2500,475.0,0.88515
wang,0.2500,500.0,0.88327
wang,0.2500,525.0,0.88127
wang,0.2500,550.0,0.87928
wang,0.2500,575.0,0.87736
wang,0.2500,600.0,0.87554
wang,0.2625,150.0,0.51622
wang,0.2625,175.0,0.61926
wang,0.2625,200.0,0.69689
wang,0.2625,225.0,0.75464
wang,0.2625,250.0,0.79561
wang,0.2625,275.0,0.82389
wang,0.2625,300.0,0.84304
wang,0.2625,325.0,0.85513
wang,0.2625,350.0,0.86241
wang,0.2625,375.0,0.86632
wang,0.2625,400.0,0.86793
wang,0.2625,425.0,0.86804
wang,0.2625,450.0,0.86718
wang,0.2625,475.0,0.86598
wang,0.2625,500.0,0.86427
wang,0.2625,525.0,0.86244
wang,0.2625,550.0,0.86061
wang,0.2625,575.0,0.85884
wang,0.2625,600.0,0.85716
wang,0.2750,150.0,0.50263
wang,0.2750,175.0,0.60326
wang,0.2750,200.0,0.67925
wang,0.2750,225.0,0.73588
wang,0.2750,250.0,0.77613
wang,0.2750,275.0,0.80398
wang,0.2750,300.0,0.82290
wang,0.2750,325.0,0.83492
wang,0.2750,350.0,0.84221
wang,0.2750,375.0,0.84620
wang,0.2750,400.0,0.84794
wang,0.2750,425.0,0.84819
wang,0.2750,450.0,0.84749
wang,0.2750,475.0,0.84644
wang,0.2750,500.0,0.84489
wang,0.2750,525.0,0.84321
wang,0.2750,550.0,0.84153
wang,0.2750,575.0,0.83991
wang,0.2750,600.0,0.83836
wang,0.2875,150.0,0.48910
wang,0.2875,175.0,0.58734
wang,0.2875,200.0,0.66312
wang,0.2875,225.0,0.71708
wang,0.2875,250.0,0.75658
wang,0.2875,275.0,0.78396
wang,0.2875,300.0,0.80263
wang,0.2875,325.0,0.81455
wang,0.2875,350.0,0.82184
wang,0.2875,375.0,0.82589
wang,0.2875,400.0,0.82773
wang,0.2875,425.0,0.82811
wang,0.2875,450.0,0.82756
wang,0.2875,475.0,0.82645
wang,0.2875,500.0,0.82524
wang,0.2875,525.0,0.82372
wang,0.2875,550.0,0.82217
wang,0.2875,575.0,0.82068
wang,0.2875,600.0,0.81926
wang,0.3000,150.0,0.47565
wang,0.3000,175.0,0.57150
wang,0.3000,200.0,0.64550
wang,0.3000,225.0,0.69830
wang,0.3000,250.0,0.73702
wang,0.3000,275.0,0.76393
wang,0.3000,300.0,0.78209
wang,0.3000,325.0,0.79411
wang,0.3000,350.0,0.80138
wang,0.3000,375.0,0.80548
wang,0.3000,400.0,0.80742
wang,0.3000,425.0,0.80791
wang,0.3000,450.0,0.80749
wang,0.3000,475.0,0.80652
wang,0.3000,500.0,0.80544
wang,0.3000,525.0,0.80404
wang,0.3000,550.0,0.80263
wang,0.3000,575.0,0.80126
wang,0.3000,600.0,0.79995
